"country","maternal"
"South Sudan",2054
"Chad",1100
"Somalia",1000
"Central African Republic",890
"Sierra Leone",890
"Burundi",800
"Guinea-Bissau",790
"Liberia",770
"Sudan",730
"Cameroon",690
"Nigeria",630
"Lesotho",620
"Guinea",610
"Niger",590
"Zimbabwe",570
"Congo, Republic of the",560
"Congo, Democratic Republic of the",540
"Mali",540
"Mauritania",510
"Mozambique",490
"Laos",470
"Afghanistan",460
"Tanzania",460
"Malawi",460
"Angola",450
"Zambia",440
"Cote d'Ivoire",400
"Senegal",370
"Gambia, The",360
"Kenya",360
"Haiti",350
"Ghana",350
"Ethiopia",350
"Benin",350
"Rwanda",340
"Swaziland",320
"Uganda",310
"South Africa",300
"Burkina Faso",300
"Togo",300
"Timor-Leste",300
"Comoros",280
"Guyana",280
"Pakistan",260
"Cambodia",250
"Eritrea",240
"Equatorial Guinea",240
"Madagascar",240
"Bangladesh",240
"Gabon",230
"Papua New Guinea",230
"Indonesia",220
"Namibia",200
"Burma",200
"India",200
"Djibouti",200
"Yemen",200
"Bolivia",190
"Bhutan",180
"Nepal",170
"Botswana",160
"Dominican Republic",150
"Suriname",130
"Guatemala",120
"Jamaica",110
"Tonga",110
"Ecuador",110
"Vanuatu",110
"Honduras",100
"Morocco",100
"Micronesia, Federated States of",100
"Samoa",100
"Paraguay",99
"Philippines",99
"Algeria",97
"Nicaragua",95
"Solomon Islands",93
"Panama",92
"Venezuela",92
"Colombia",92
"El Salvador",81
"Korea, North",81
"Cabo Verde",79
"Argentina",77
"Cuba",73
"Kyrgyzstan",71
"Syria",70
"Sao Tome and Principe",70
"Turkmenistan",67
"Peru",67
"Georgia",67
"Egypt",66
"Tajikistan",65
"Gaza Strip",64
"West Bank",64
"Mongolia",63
"Jordan",63
"Iraq",63
"Mauritius",60
"Maldives",60
"Vietnam",59
"Libya",58
"Brazil",56
"Tunisia",56
"Belize",53
"Barbados",51
"Kazakhstan",51
"Mexico",50
"Saint Vincent and the Grenadines",48
"Thailand",48
"Bahamas, The",47
"Trinidad and Tobago",46
"Azerbaijan",43
"Moldova",41
"Costa Rica",40
"China",37
"Saint Lucia",35
"Sri Lanka",35
"Russia",34
"Latvia",34
"Ukraine",32
"Oman",32
"Armenia",30
"Uruguay",29
"Malaysia",29
"Uzbekistan",28
"Romania",27
"Albania",27
"Fiji",26
"Lebanon",25
"Chile",25
"Brunei",24
"Saudi Arabia",24
"Grenada",24
"Hungary",21
"United States",21
"Iran",21
"Bahrain",20
"Turkey",20
"Puerto Rico",20
"Luxembourg",20
"Croatia",17
"Korea, South",16
"New Zealand",15
"Kuwait",14
"United Arab Emirates",12
"Canada",12
"United Kingdom",12
"Serbia",12
"Slovenia",12
"Denmark",12
"Bulgaria",11
"Macedonia",10
"Cyprus",10
"Kiribati",9
"Belgium",8
"Bosnia and Herzegovina",8
"France",8
"Switzerland",8
"Montenegro",8
"Malta",8
"Portugal",8
"Lithuania",8
"Australia",7
"Germany",7
"Qatar",7
"Norway",7
"Israel",7
"Ireland",6
"Spain",6
"Netherlands",6
"Slovakia",6
"Czech Republic",5
"Finland",5
"Poland",5
"Japan",5
"Iceland",5
"Austria",4
"Sweden",4
"Italy",4
"Belarus",4
"Singapore",3
"Greece",3
"Estonia",2
